1974-09-07 16:00:00, 1974-09-07 16:00:00, 1.152785, 0:00:00, 0.0 
1974-11-08 17:00:00, 1974-11-08 21:00:00, 4.193862, 4:00:00, 0.0 
1974-11-09 22:00:00, 1974-11-09 22:00:00, 0.979522, 0:00:00, 0.0 
1974-11-10 11:00:00, 1974-11-10 11:00:00, 0.964311, 0:00:00, 0.0 
1974-11-10 23:00:00, 1974-11-10 23:00:00, 0.967176, 0:00:00, 0.0 
1974-11-12 22:00:00, 1974-11-13 01:00:00, 3.978273, 3:00:00, 0.0 
1974-12-01 14:00:00, 1974-12-03 04:00:00, 40.944790, 1 day, 14:00:00, 0.0 
1974-12-16 12:00:00, 1974-12-17 03:00:00, 12.194391, 15:00:00, 0.0 
1975-01-09 08:00:00, 1975-01-09 09:00:00, 1.429670, 1:00:00, 0.0 
1975-01-21 05:00:00, 1975-01-21 05:00:00, 1.103025, 0:00:00, 0.0 
1975-02-06 07:00:00, 1975-02-06 08:00:00, 1.044557, 1:00:00, 0.0 
1975-02-13 00:00:00, 1975-02-13 02:00:00, 2.267070, 2:00:00, 0.0 
1975-02-18 04:00:00, 1975-02-18 04:00:00, 1.014472, 0:00:00, 0.0 
1975-03-14 13:00:00, 1975-03-15 03:00:00, 9.546729, 14:00:00, 0.0 
1975-03-20 03:00:00, 1975-03-20 07:00:00, 3.790773, 4:00:00, 0.0 
1975-04-17 16:00:00, 1975-04-17 17:00:00, 0.966345, 1:00:00, 0.0 
1975-07-01 05:00:00, 1975-07-01 07:00:00, 1.046929, 2:00:00, 0.0 
1975-10-18 00:00:00, 1975-10-18 00:00:00, 1.142400, 0:00:00, 0.0 
1975-10-19 11:00:00, 1975-10-20 14:00:00, 15.176634, 1 day, 3:00:00, 0.0 
1975-11-24 14:00:00, 1975-11-25 15:00:00, 13.988433, 1 day, 1:00:00, 0.0 
1975-12-09 03:00:00, 1975-12-10 07:00:00, 17.461268, 1 day, 4:00:00, 0.0 
1975-12-22 01:00:00, 1975-12-22 17:00:00, 8.644626, 16:00:00, 0.0 
1976-01-01 09:00:00, 1976-01-01 14:00:00, 5.853999, 5:00:00, 0.0 
1976-01-16 23:00:00, 1976-01-16 23:00:00, 0.997442, 0:00:00, 0.0 
1976-01-17 23:00:00, 1976-01-17 23:00:00, 1.037322, 0:00:00, 0.0 
1976-02-19 03:00:00, 1976-02-19 03:00:00, 1.152487, 0:00:00, 0.0 
1976-03-03 00:00:00, 1976-03-03 00:00:00, 1.065540, 0:00:00, 0.0 
1976-03-10 04:00:00, 1976-03-10 19:00:00, 9.744508, 15:00:00, 0.0 
1976-03-16 22:00:00, 1976-03-17 01:00:00, 4.475396, 3:00:00, 0.0 
1976-06-02 15:00:00, 1976-06-02 17:00:00, 2.662880, 2:00:00, 0.0 
1976-08-09 22:00:00, 1976-08-10 01:00:00, 10.061532, 3:00:00, 0.0 
1976-10-01 06:00:00, 1976-10-02 22:00:00, 21.991703, 1 day, 16:00:00, 0.0 
1976-10-03 23:00:00, 1976-10-04 09:00:00, 2.143749, 10:00:00, 0.0 
1976-10-04 23:00:00, 1976-10-05 12:00:00, 5.416649, 13:00:00, 0.0 
1976-10-06 00:00:00, 1976-10-06 00:00:00, 1.052362, 0:00:00, 0.0 
1976-10-20 22:00:00, 1976-10-20 23:00:00, 1.227166, 1:00:00, 0.0 
1976-12-29 06:00:00, 1976-12-29 08:00:00, 2.170002, 2:00:00, 0.0 
1977-01-07 11:00:00, 1977-01-07 15:00:00, 5.531923, 4:00:00, 0.0 
1977-01-10 04:00:00, 1977-01-10 18:00:00, 10.577609, 14:00:00, 0.0 
1977-02-25 04:00:00, 1977-02-25 04:00:00, 1.135984, 0:00:00, 0.0 
1977-03-22 14:00:00, 1977-03-22 16:00:00, 1.115707, 2:00:00, 0.0 
1977-06-10 18:00:00, 1977-06-10 22:00:00, 4.643662, 4:00:00, 0.0 
1977-09-21 07:00:00, 1977-09-21 07:00:00, 0.968830, 0:00:00, 0.0 
1977-09-25 08:00:00, 1977-09-26 10:00:00, 21.274041, 1 day, 2:00:00, 0.0 
1977-10-14 10:00:00, 1977-10-15 03:00:00, 20.876946, 17:00:00, 0.0 
1977-10-30 00:00:00, 1977-10-30 04:00:00, 4.678455, 4:00:00, 0.0 
1977-11-07 19:00:00, 1977-11-09 00:00:00, 25.308576, 1 day, 5:00:00, 0.0 
1977-11-26 10:00:00, 1977-11-26 14:00:00, 1.115491, 4:00:00, 0.0 
1977-12-05 20:00:00, 1977-12-05 21:00:00, 1.058425, 1:00:00, 0.0 
1977-12-18 17:00:00, 1977-12-22 09:00:00, 79.551589, 3 days, 16:00:00, 0.0 
1978-01-14 05:00:00, 1978-01-14 06:00:00, 1.140474, 1:00:00, 0.0 
1978-01-20 09:00:00, 1978-01-20 23:00:00, 10.864435, 14:00:00, 0.0 
1978-02-06 11:00:00, 1978-02-09 03:00:00, 41.603053, 2 days, 16:00:00, 0.0 
1978-02-14 07:00:00, 1978-02-14 18:00:00, 2.232381, 11:00:00, 0.0 
1978-03-03 19:00:00, 1978-03-04 09:00:00, 4.385393, 14:00:00, 0.0 
1978-03-11 01:00:00, 1978-03-11 03:00:00, 2.533605, 2:00:00, 0.0 
1978-04-28 02:00:00, 1978-04-28 17:00:00, 9.752511, 15:00:00, 0.0 
1978-05-05 10:00:00, 1978-05-05 11:00:00, 1.114717, 1:00:00, 0.0 
1978-07-04 22:00:00, 1978-07-05 02:00:00, 3.294880, 4:00:00, 0.0 
1979-01-14 00:00:00, 1979-01-14 02:00:00, 2.445713, 2:00:00, 0.0 
1979-01-14 14:00:00, 1979-01-14 14:00:00, 1.148995, 0:00:00, 0.0 
1979-01-20 03:00:00, 1979-01-20 06:00:00, 4.014664, 3:00:00, 0.0 
1979-01-21 04:00:00, 1979-01-21 19:00:00, 9.364928, 15:00:00, 0.0 
1979-01-24 19:00:00, 1979-01-25 12:00:00, 20.247670, 17:00:00, 0.0 
1979-01-26 23:00:00, 1979-01-26 23:00:00, 1.023294, 0:00:00, 0.0 
1979-01-28 10:00:00, 1979-01-28 14:00:00, 5.336867, 4:00:00, 0.0 
1979-02-19 17:00:00, 1979-02-19 18:00:00, 1.006859, 1:00:00, 0.0 
1979-02-25 21:00:00, 1979-02-27 02:00:00, 26.587865, 1 day, 5:00:00, 0.0 
1979-08-12 05:00:00, 1979-08-12 18:00:00, 4.409672, 13:00:00, 0.0 
1979-10-03 12:00:00, 1979-10-03 12:00:00, 1.381197, 0:00:00, 0.0 
1979-11-13 08:00:00, 1979-11-13 08:00:00, 1.003799, 0:00:00, 0.0 
1979-12-20 12:00:00, 1979-12-21 02:00:00, 4.708499, 14:00:00, 0.0 
1980-01-05 12:00:00, 1980-01-07 04:00:00, 25.392391, 1 day, 16:00:00, 0.0 
1980-01-14 22:00:00, 1980-01-18 14:00:00, 47.045274, 3 days, 16:00:00, 0.0 
1980-02-07 03:00:00, 1980-02-08 05:00:00, 8.032160, 1 day, 2:00:00, 0.0 
1980-02-26 07:00:00, 1980-02-26 11:00:00, 2.005850, 4:00:00, 0.0 
1980-03-03 12:00:00, 1980-03-04 02:00:00, 5.468161, 14:00:00, 0.0 
1980-03-13 22:00:00, 1980-03-14 12:00:00, 12.938691, 14:00:00, 0.0 
1980-03-21 17:00:00, 1980-03-21 18:00:00, 0.962113, 1:00:00, 0.0 
1980-03-22 17:00:00, 1980-03-23 19:00:00, 18.907121, 1 day, 2:00:00, 0.0 
1980-03-25 06:00:00, 1980-03-25 18:00:00, 5.707651, 12:00:00, 0.0 
1980-04-25 07:00:00, 1980-04-25 07:00:00, 0.918124, 0:00:00, 0.0 
1980-04-28 11:00:00, 1980-04-29 12:00:00, 11.892914, 1 day, 1:00:00, 0.0 
1980-08-21 22:00:00, 1980-08-22 10:00:00, 4.080315, 12:00:00, 0.0 
1980-10-25 11:00:00, 1980-10-25 16:00:00, 12.851699, 5:00:00, 0.0 
1980-11-28 15:00:00, 1980-11-28 19:00:00, 4.699448, 4:00:00, 0.0 
1980-12-30 06:00:00, 1980-12-30 08:00:00, 1.969758, 2:00:00, 0.0 
1981-02-21 00:00:00, 1981-02-21 00:00:00, 0.931723, 0:00:00, 0.0 
1981-02-22 03:00:00, 1981-02-22 04:00:00, 0.930021, 1:00:00, 0.0 
1981-03-05 22:00:00, 1981-03-06 02:00:00, 6.414935, 4:00:00, 0.0 
1981-03-08 14:00:00, 1981-03-08 15:00:00, 1.104300, 1:00:00, 0.0 
1981-05-05 03:00:00, 1981-05-05 03:00:00, 1.209739, 0:00:00, 0.0 
1981-08-21 04:00:00, 1981-08-21 05:00:00, 1.067596, 1:00:00, 0.0 
1981-09-17 02:00:00, 1981-09-17 04:00:00, 2.568446, 2:00:00, 0.0 
